HRSRELAX,1.0,2.0,All
0.0,3.1042128603104215,3.2150776053215075,6.319290465631928
1.0,4.767184035476718,5.432372505543237,10.199556541019955
2.0,8.980044345898005,10.310421286031042,19.290465631929045
3.0,7.317073170731707,7.427937915742794,14.745011086474502
4.0,8.980044345898005,10.42128603104213,19.40133037694013
5.0,6.319290465631928,6.541019955654102,12.86031042128603
6.0,3.436807095343681,2.882483370288248,6.319290465631928
7.0,0.8869179600886918,0.4434589800443459,1.3303769401330376
8.0,2.4390243902439024,2.549889135254989,4.988913525498892
9.0,0.0,0.3325942350332594,0.3325942350332594
10.0,0.7760532150776054,0.7760532150776054,1.5521064301552108
11.0,0.11086474501108648,0.11086474501108648,0.22172949002217296
12.0,0.11086474501108648,0.7760532150776054,0.8869179600886918
14.0,0.22172949002217296,0.22172949002217296,0.4434589800443459
15.0,0.11086474501108648,0.11086474501108648,0.22172949002217296
16.0,0.22172949002217296,0.0,0.22172949002217296
17.0,0.11086474501108648,0.0,0.11086474501108648
18.0,0.0,0.11086474501108648,0.11086474501108648
20.0,0.11086474501108648,0.11086474501108648,0.22172949002217296
21.0,0.11086474501108648,0.0,0.11086474501108648
24.0,0.11086474501108648,0.0,0.11086474501108648
All,48.22616407982262,51.77383592017738,100.0
